,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,42.13%,40.99%,39.81%,0.95%,1970.00 ms,42.13%,40.99%,39.81%,0.95%,1890.00 ms,42.13%,40.99%,39.81%,0.95%,1800.00 ms,42.13%,40.99%,39.81%,0.95%,1980.00 ms
DTC,38.71%,37.13%,36.11%,1.13%,50.00 ms,42.59%,39.76%,37.79%,2.06%,50.00 ms,41.20%,38.06%,34.26%,2.87%,50.00 ms,39.81%,38.52%,36.57%,1.40%,50.00 ms
SVC,37.50%,35.44%,31.48%,2.80%,130.00 ms,37.50%,35.44%,31.48%,2.80%,130.00 ms,37.50%,35.44%,31.48%,2.80%,130.00 ms,37.50%,35.44%,31.48%,2.80%,140.00 ms
