,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,50.77%,43.45%,32.31%,6.03%,10020.00 ms,50.77%,43.45%,32.31%,6.03%,9600.00 ms,50.77%,43.45%,32.31%,6.03%,8140.00 ms,50.77%,43.45%,32.31%,6.03%,7890.00 ms
DTC,47.69%,40.37%,32.31%,4.17%,150.00 ms,43.08%,37.91%,27.69%,4.89%,150.00 ms,46.15%,38.53%,27.69%,4.86%,150.00 ms,44.62%,39.29%,30.77%,4.04%,150.00 ms
SVC,52.31%,39.61%,29.23%,6.14%,500.00 ms,52.31%,39.61%,29.23%,6.14%,380.00 ms,52.31%,39.61%,29.23%,6.14%,390.00 ms,52.31%,39.61%,29.23%,6.14%,370.00 ms
