,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,44.19%,40.84%,38.46%,2.00%,3830.00 ms,44.19%,40.84%,38.46%,2.00%,3720.00 ms,44.19%,40.84%,38.46%,2.00%,3760.00 ms,44.19%,40.84%,38.46%,2.00%,4320.00 ms
DTC,43.08%,41.14%,38.46%,1.71%,80.00 ms,45.38%,41.45%,39.53%,2.08%,90.00 ms,48.46%,42.53%,38.46%,3.36%,90.00 ms,45.38%,43.14%,40.00%,2.22%,90.00 ms
SVC,44.19%,39.14%,33.08%,3.84%,190.00 ms,44.19%,39.14%,33.08%,3.84%,190.00 ms,44.19%,39.14%,33.08%,3.84%,180.00 ms,44.19%,39.14%,33.08%,3.84%,280.00 ms
