,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,50.00%,44.80%,40.46%,3.94%,1400.00 ms,50.00%,44.80%,40.46%,3.94%,1510.00 ms,50.00%,44.80%,40.46%,3.94%,1630.00 ms,50.00%,44.80%,40.46%,3.94%,1450.00 ms
DTC,47.73%,46.08%,44.70%,1.25%,40.00 ms,46.21%,42.78%,40.15%,2.54%,50.00 ms,45.45%,44.56%,43.18%,0.99%,40.00 ms,46.21%,45.31%,44.27%,0.80%,40.00 ms
SVC,48.85%,46.34%,44.70%,1.81%,80.00 ms,48.85%,46.34%,44.70%,1.81%,80.00 ms,48.85%,46.34%,44.70%,1.81%,80.00 ms,48.85%,46.34%,44.70%,1.81%,80.00 ms
