,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,57.50%,42.26%,27.50%,8.02%,5350.00 ms,57.50%,42.26%,27.50%,8.02%,5300.00 ms,57.50%,42.26%,27.50%,8.02%,5640.00 ms,57.50%,42.26%,27.50%,8.02%,5610.00 ms
DTC,52.50%,40.21%,33.33%,5.71%,120.00 ms,47.50%,40.74%,35.00%,4.55%,120.00 ms,57.50%,42.27%,35.00%,6.29%,130.00 ms,52.50%,42.00%,35.90%,5.67%,130.00 ms
SVC,55.00%,46.32%,33.33%,6.62%,130.00 ms,55.00%,46.32%,33.33%,6.62%,150.00 ms,55.00%,46.32%,33.33%,6.62%,180.00 ms,55.00%,46.32%,33.33%,6.62%,160.00 ms
