,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,99.95%,99.87%,99.81%,0.05%,60830.00 ms,99.95%,99.87%,99.81%,0.05%,60980.00 ms,99.95%,99.87%,99.81%,0.05%,60700.00 ms,99.95%,99.87%,99.81%,0.05%,60640.00 ms
DTC,98.54%,98.39%,98.08%,0.16%,800.00 ms,98.68%,98.38%,97.94%,0.24%,820.00 ms,98.61%,98.42%,97.99%,0.22%,820.00 ms,98.73%,98.44%,97.92%,0.27%,820.00 ms
SVC,42.10%,41.08%,39.72%,0.80%,113820.00 ms,42.10%,41.08%,39.72%,0.80%,113890.00 ms,42.10%,41.08%,39.72%,0.80%,113650.00 ms,42.10%,41.08%,39.72%,0.80%,115380.00 ms
