,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,100.00%,99.79%,97.89%,0.63%,1340.00 ms,100.00%,99.79%,97.89%,0.63%,1360.00 ms,100.00%,99.79%,97.89%,0.63%,1360.00 ms,100.00%,99.79%,97.89%,0.63%,1460.00 ms
DTC,100.00%,99.79%,98.95%,0.42%,80.00 ms,100.00%,99.79%,98.95%,0.42%,90.00 ms,100.00%,99.79%,98.95%,0.42%,90.00 ms,100.00%,99.79%,98.95%,0.42%,90.00 ms
SVC,100.00%,99.69%,98.95%,0.48%,110.00 ms,100.00%,99.69%,98.95%,0.48%,100.00 ms,100.00%,99.69%,98.95%,0.48%,100.00 ms,100.00%,99.69%,98.95%,0.48%,100.00 ms
