,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,100.00%,99.90%,99.69%,0.15%,400.00 ms,100.00%,99.90%,99.69%,0.15%,400.00 ms,100.00%,99.90%,99.69%,0.15%,400.00 ms,100.00%,99.90%,99.69%,0.15%,400.00 ms
DTC,100.00%,99.90%,99.69%,0.15%,20.00 ms,100.00%,99.90%,99.69%,0.15%,30.00 ms,100.00%,99.90%,99.69%,0.15%,30.00 ms,100.00%,99.90%,99.69%,0.15%,30.00 ms
SVC,99.69%,99.17%,98.44%,0.53%,60.00 ms,99.69%,99.17%,98.44%,0.53%,70.00 ms,99.69%,99.17%,98.44%,0.53%,70.00 ms,99.69%,99.17%,98.44%,0.53%,70.00 ms
