,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,1.00,1.00,1.00,0.00,2740.00 ms,0.00,0.00,0.00,0.00,2630.00 ms,0.02,0.02,0.02,0.00,2470.00 ms,0.03,0.03,0.03,0.00,2450.00 ms
DTR,1.00,1.00,1.00,0.00,380.00 ms,0.00,0.00,0.00,0.00,300.00 ms,0.04,0.03,0.02,0.01,290.00 ms,0.07,0.06,0.04,0.01,280.00 ms
SVR,0.36,0.34,0.34,0.01,12200.00 ms,1039.50,997.53,921.04,54.17,11820.00 ms,6.83,6.62,6.23,0.27,11460.00 ms,32.24,31.57,30.35,0.87,11370.00 ms
