,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,1.00,1.00,1.00,0.00,4510.00 ms,0.00,0.00,0.00,0.00,4500.00 ms,0.02,0.02,0.02,0.00,4520.00 ms,0.03,0.03,0.02,0.00,4510.00 ms
DTR,1.00,1.00,1.00,0.00,530.00 ms,0.00,0.00,0.00,0.00,520.00 ms,0.04,0.04,0.03,0.00,520.00 ms,0.07,0.06,0.06,0.00,530.00 ms
SVR,0.43,0.41,0.38,0.02,21560.00 ms,1130.11,904.03,766.69,121.41,21480.00 ms,7.68,6.39,5.59,0.70,21410.00 ms,33.62,30.00,27.69,1.96,21450.00 ms
