,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,1.00,1.00,1.00,0.00,9710.00 ms,0.00,0.00,0.00,0.00,9660.00 ms,0.02,0.02,0.02,0.00,10070.00 ms,0.03,0.02,0.02,0.00,9690.00 ms
DTR,1.00,1.00,1.00,0.00,1150.00 ms,0.00,0.00,0.00,0.00,1120.00 ms,0.04,0.03,0.03,0.00,1130.00 ms,0.07,0.06,0.06,0.00,1120.00 ms
SVR,0.50,0.45,0.42,0.02,45240.00 ms,1191.02,836.94,526.87,158.93,45390.00 ms,8.43,6.21,4.31,0.98,45210.00 ms,34.51,28.80,22.95,2.76,45240.00 ms
