,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,53.33%,45.19%,37.78%,6.37%,990.00 ms,53.33%,45.19%,37.78%,6.37%,990.00 ms,53.33%,45.19%,37.78%,6.37%,1000.00 ms,53.33%,45.19%,37.78%,6.37%,990.00 ms
DTC,42.22%,36.30%,33.33%,4.19%,30.00 ms,37.78%,35.56%,31.11%,3.14%,30.00 ms,35.56%,34.07%,33.33%,1.05%,30.00 ms,46.67%,38.52%,31.11%,6.37%,30.00 ms
SVC,57.78%,47.41%,42.22%,7.33%,30.00 ms,57.78%,47.41%,42.22%,7.33%,40.00 ms,57.78%,47.41%,42.22%,7.33%,40.00 ms,57.78%,47.41%,42.22%,7.33%,40.00 ms
