,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,33.33%,25.93%,11.11%,7.77%,3340.00 ms,33.33%,25.93%,11.11%,7.77%,3130.00 ms,33.33%,25.93%,11.11%,7.77%,3130.00 ms,33.33%,25.93%,11.11%,7.77%,3110.00 ms
DTC,37.04%,25.93%,14.81%,8.45%,40.00 ms,37.04%,25.93%,11.11%,8.76%,50.00 ms,33.33%,25.19%,11.11%,7.91%,50.00 ms,37.04%,24.44%,11.11%,8.95%,50.00 ms
SVC,22.22%,15.56%,3.70%,7.18%,60.00 ms,22.22%,15.56%,3.70%,7.18%,60.00 ms,22.22%,15.56%,3.70%,7.18%,60.00 ms,22.22%,15.56%,3.70%,7.18%,60.00 ms
