,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,31.11%,20.00%,13.33%,7.91%,2000.00 ms,31.11%,20.00%,13.33%,7.91%,2120.00 ms,31.11%,20.00%,13.33%,7.91%,1780.00 ms,31.11%,20.00%,13.33%,7.91%,2070.00 ms
DTC,33.33%,28.15%,17.78%,7.33%,30.00 ms,37.78%,28.89%,20.00%,7.26%,30.00 ms,37.78%,28.89%,17.78%,8.31%,40.00 ms,37.78%,28.89%,17.78%,8.31%,30.00 ms
SVC,22.22%,18.52%,15.56%,2.77%,50.00 ms,22.22%,18.52%,15.56%,2.77%,50.00 ms,22.22%,18.52%,15.56%,2.77%,50.00 ms,22.22%,18.52%,15.56%,2.77%,50.00 ms
