,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,46.15%,26.48%,7.69%,12.61%,6550.00 ms,46.15%,26.48%,7.69%,12.61%,6580.00 ms,46.15%,26.48%,7.69%,12.61%,6480.00 ms,46.15%,26.48%,7.69%,12.61%,6510.00 ms
DTC,42.86%,25.00%,7.69%,10.03%,80.00 ms,42.86%,23.57%,7.69%,9.93%,100.00 ms,42.86%,23.63%,14.29%,8.84%,100.00 ms,35.71%,21.37%,7.14%,9.28%,100.00 ms
SVC,30.77%,22.14%,14.29%,6.31%,80.00 ms,30.77%,22.14%,14.29%,6.31%,80.00 ms,30.77%,22.14%,14.29%,6.31%,80.00 ms,30.77%,22.14%,14.29%,6.31%,80.00 ms
