,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,76.92%,46.04%,28.57%,13.66%,3820.00 ms,76.92%,46.04%,28.57%,13.66%,3690.00 ms,76.92%,46.04%,28.57%,13.66%,3700.00 ms,76.92%,46.04%,28.57%,13.66%,3820.00 ms
DTC,57.14%,42.25%,21.43%,14.27%,90.00 ms,57.14%,40.00%,15.38%,15.15%,90.00 ms,57.14%,40.00%,15.38%,15.15%,90.00 ms,57.14%,39.95%,15.38%,16.40%,100.00 ms
SVC,57.14%,42.97%,30.77%,7.84%,80.00 ms,57.14%,42.97%,30.77%,7.84%,70.00 ms,57.14%,42.97%,30.77%,7.84%,60.00 ms,57.14%,42.97%,30.77%,7.84%,80.00 ms
