,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,46.88%,41.15%,27.69%,5.78%,6400.00 ms,46.88%,41.15%,27.69%,5.78%,7000.00 ms,46.88%,41.15%,27.69%,5.78%,6440.00 ms,46.88%,41.15%,27.69%,5.78%,6500.00 ms
DTC,58.46%,41.29%,27.69%,7.92%,120.00 ms,56.92%,44.23%,27.69%,7.72%,130.00 ms,50.77%,41.45%,27.69%,6.42%,120.00 ms,55.38%,41.60%,27.69%,7.66%,130.00 ms
SVC,52.31%,39.76%,30.77%,5.97%,330.00 ms,52.31%,39.76%,30.77%,5.97%,340.00 ms,52.31%,39.76%,30.77%,5.97%,340.00 ms,52.31%,39.76%,30.77%,5.97%,330.00 ms
