,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,60.00%,45.28%,27.50%,8.59%,5250.00 ms,60.00%,45.28%,27.50%,8.59%,4990.00 ms,60.00%,45.28%,27.50%,8.59%,4980.00 ms,60.00%,45.28%,27.50%,8.59%,5000.00 ms
DTC,55.00%,46.29%,33.33%,6.91%,100.00 ms,52.50%,46.29%,33.33%,6.56%,110.00 ms,50.00%,44.26%,35.90%,4.72%,110.00 ms,57.50%,46.55%,40.00%,4.86%,110.00 ms
SVC,55.00%,46.06%,33.33%,6.67%,120.00 ms,55.00%,46.06%,33.33%,6.67%,130.00 ms,55.00%,46.06%,33.33%,6.67%,130.00 ms,55.00%,46.06%,33.33%,6.67%,130.00 ms
