,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,52.27%,48.85%,43.51%,3.82%,1620.00 ms,52.27%,48.85%,43.51%,3.82%,1330.00 ms,52.27%,48.85%,43.51%,3.82%,1360.00 ms,52.27%,48.85%,43.51%,3.82%,1330.00 ms
DTC,49.24%,42.78%,38.64%,4.63%,30.00 ms,47.33%,43.05%,34.85%,5.80%,40.00 ms,49.24%,44.06%,36.36%,5.55%,40.00 ms,46.56%,42.04%,35.61%,4.67%,40.00 ms
SVC,48.09%,46.08%,44.70%,1.45%,70.00 ms,48.09%,46.08%,44.70%,1.45%,70.00 ms,48.09%,46.08%,44.70%,1.45%,70.00 ms,48.09%,46.08%,44.70%,1.45%,70.00 ms
