,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,49.37%,46.33%,41.77%,2.61%,2390.00 ms,49.37%,46.33%,41.77%,2.61%,2410.00 ms,49.37%,46.33%,41.77%,2.61%,2450.00 ms,49.37%,46.33%,41.77%,2.61%,2550.00 ms
DTC,50.63%,43.29%,34.18%,5.63%,60.00 ms,50.63%,43.29%,34.18%,5.51%,60.00 ms,54.43%,45.32%,35.44%,6.67%,60.00 ms,50.63%,43.80%,35.44%,6.08%,60.00 ms
SVC,49.37%,46.58%,41.77%,2.58%,90.00 ms,49.37%,46.58%,41.77%,2.58%,90.00 ms,49.37%,46.58%,41.77%,2.58%,90.00 ms,49.37%,46.58%,41.77%,2.58%,80.00 ms
