,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,100.00%,100.00%,100.00%,0.00%,15090.00 ms,100.00%,100.00%,100.00%,0.00%,14570.00 ms,100.00%,100.00%,100.00%,0.00%,14560.00 ms,100.00%,100.00%,100.00%,0.00%,14360.00 ms
DTC,100.00%,100.00%,100.00%,0.00%,350.00 ms,100.00%,100.00%,100.00%,0.00%,370.00 ms,100.00%,100.00%,100.00%,0.00%,430.00 ms,100.00%,100.00%,100.00%,0.00%,340.00 ms
SVC,99.99%,99.98%,99.98%,0.00%,110560.00 ms,99.99%,99.98%,99.98%,0.00%,110470.00 ms,99.99%,99.98%,99.98%,0.00%,110850.00 ms,99.99%,99.98%,99.98%,0.00%,109970.00 ms
