,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.94,0.82,0.60,0.13,980.00 ms,3.86,2.30,0.75,0.99,970.00 ms,1.29,1.04,0.72,0.19,970.00 ms,1.96,1.48,0.86,0.35,970.00 ms
DTR,0.86,0.69,0.43,0.18,40.00 ms,6.55,4.05,1.46,1.70,40.00 ms,1.85,1.53,0.95,0.33,40.00 ms,2.62,1.95,1.14,0.49,40.00 ms
SVR,0.45,0.29,0.09,0.13,50.00 ms,30.04,13.36,5.68,9.35,50.00 ms,3.84,2.59,1.84,0.76,50.00 ms,5.48,3.45,2.38,1.20,50.00 ms
