,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.96,0.80,0.24,0.22,1980.00 ms,5.63,2.39,0.56,1.66,1980.00 ms,1.67,1.07,0.67,0.35,1970.00 ms,2.37,1.45,0.75,0.53,1990.00 ms
DTR,0.93,0.69,0.04,0.26,80.00 ms,8.72,4.36,1.30,2.79,80.00 ms,2.06,1.49,0.89,0.39,80.00 ms,3.02,1.90,1.13,0.60,80.00 ms
SVR,0.48,0.26,0.03,0.13,70.00 ms,38.19,13.18,4.40,9.83,60.00 ms,4.31,2.60,1.60,0.81,70.00 ms,6.18,3.42,2.10,1.22,60.00 ms
