,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.77,0.59,0.33,0.12,2700.00 ms,0.86,0.63,0.39,0.14,2570.00 ms,0.68,0.62,0.52,0.05,2450.00 ms,0.93,0.79,0.63,0.09,2410.00 ms
DTR,0.64,0.36,0.03,0.15,100.00 ms,1.49,1.03,0.69,0.22,100.00 ms,0.74,0.66,0.56,0.05,100.00 ms,1.24,1.00,0.80,0.11,100.00 ms
SVR,0.73,0.59,0.39,0.11,120.00 ms,1.23,0.66,0.37,0.24,160.00 ms,0.72,0.60,0.48,0.08,120.00 ms,1.11,0.80,0.61,0.14,120.00 ms
