,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.58,0.49,0.41,0.05,2890.00 ms,1.00,0.74,0.59,0.14,2790.00 ms,0.80,0.68,0.61,0.05,2730.00 ms,1.00,0.86,0.77,0.08,2810.00 ms
DTR,0.47,0.18,-0.10,0.14,110.00 ms,1.83,1.20,0.82,0.31,120.00 ms,0.94,0.74,0.62,0.09,120.00 ms,1.28,1.08,0.91,0.12,110.00 ms
SVR,0.40,0.35,0.26,0.05,290.00 ms,1.19,0.95,0.72,0.14,310.00 ms,0.81,0.74,0.67,0.04,320.00 ms,1.09,0.97,0.85,0.07,310.00 ms
