,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.63,0.58,0.55,0.04,740.00 ms,0.78,0.68,0.58,0.08,730.00 ms,0.64,0.63,0.62,0.01,770.00 ms,0.89,0.83,0.76,0.05,790.00 ms
DTR,0.45,0.34,0.27,0.08,30.00 ms,1.43,1.14,0.83,0.25,30.00 ms,0.77,0.70,0.58,0.08,30.00 ms,1.17,1.03,0.93,0.10,30.00 ms
SVR,0.65,0.60,0.54,0.04,70.00 ms,0.79,0.66,0.54,0.10,70.00 ms,0.64,0.60,0.57,0.03,80.00 ms,0.89,0.81,0.74,0.06,70.00 ms
