,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.71,0.60,0.52,0.07,1260.00 ms,0.72,0.63,0.56,0.06,1310.00 ms,0.64,0.62,0.58,0.02,1220.00 ms,0.85,0.80,0.75,0.04,1350.00 ms
DTR,0.46,0.32,0.22,0.09,50.00 ms,1.14,0.97,0.78,0.12,50.00 ms,0.77,0.68,0.62,0.06,50.00 ms,1.05,0.96,0.91,0.05,50.00 ms
SVR,0.64,0.59,0.49,0.06,80.00 ms,0.83,0.65,0.52,0.11,90.00 ms,0.64,0.60,0.54,0.04,90.00 ms,0.91,0.81,0.72,0.07,90.00 ms
