,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.56,0.51,0.49,0.03,970.00 ms,0.77,0.72,0.67,0.04,770.00 ms,0.71,0.67,0.66,0.02,760.00 ms,0.88,0.85,0.82,0.02,750.00 ms
DTR,0.33,0.21,0.04,0.12,40.00 ms,1.50,1.23,1.05,0.19,40.00 ms,0.81,0.79,0.78,0.01,40.00 ms,1.11,1.07,1.04,0.03,40.00 ms
SVR,0.35,0.34,0.33,0.01,120.00 ms,1.00,0.98,0.95,0.02,110.00 ms,0.76,0.75,0.74,0.01,110.00 ms,1.00,0.99,0.98,0.01,120.00 ms
