,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.56,0.51,0.45,0.04,1360.00 ms,0.79,0.71,0.60,0.08,1350.00 ms,0.71,0.66,0.60,0.04,1350.00 ms,0.89,0.84,0.77,0.05,1350.00 ms
DTR,0.23,0.16,0.08,0.06,60.00 ms,1.58,1.26,1.07,0.19,70.00 ms,0.92,0.79,0.74,0.07,70.00 ms,1.25,1.10,0.98,0.10,70.00 ms
SVR,0.39,0.35,0.31,0.03,160.00 ms,1.08,0.95,0.86,0.08,160.00 ms,0.80,0.74,0.68,0.04,170.00 ms,1.04,0.98,0.93,0.04,160.00 ms
