,Kfold_Max_Accuracy,Kfold_Mean_Accuracy,Kfold_Min_Accuracy,Kfold_Std_Deviation_Accuracy,Kfold_Accuracy_Elapsed_Time,Kfold_Max_Precision,Kfold_Mean_Precision,Kfold_Min_Precision,Kfold_Std_Deviation_Precision,Kfold_Precision_Elapsed_Time,Kfold_Max_Recall,Kfold_Mean_Recall,Kfold_Min_Recall,Kfold_Std_Deviation_Recall,Kfold_Recall_Elapsed_Time,Kfold_Max_F1,Kfold_Mean_F1,Kfold_Min_F1,Kfold_Std_Deviation_F1,Kfold_F1_Elapsed_Time
XGB,100.00%,99.85%,99.70%,0.12%,910.00 ms,100.00%,99.85%,99.70%,0.12%,910.00 ms,100.00%,99.85%,99.70%,0.12%,790.00 ms,100.00%,99.85%,99.70%,0.12%,790.00 ms
DTC,99.85%,99.80%,99.70%,0.07%,30.00 ms,99.85%,99.80%,99.70%,0.07%,40.00 ms,99.85%,99.75%,99.70%,0.07%,40.00 ms,99.85%,99.75%,99.70%,0.07%,40.00 ms
SVC,100.00%,99.40%,99.10%,0.42%,190.00 ms,100.00%,99.40%,99.10%,0.42%,280.00 ms,100.00%,99.40%,99.10%,0.42%,190.00 ms,100.00%,99.40%,99.10%,0.42%,180.00 ms
