,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.77,0.62,0.51,0.07,2720.00 ms,0.98,0.59,0.38,0.16,2690.00 ms,0.73,0.59,0.51,0.06,2750.00 ms,0.99,0.76,0.62,0.10,2650.00 ms
DTR,0.76,0.40,0.05,0.17,120.00 ms,1.33,0.86,0.55,0.25,110.00 ms,0.79,0.64,0.50,0.10,120.00 ms,1.26,0.95,0.79,0.14,120.00 ms
SVR,0.73,0.59,0.39,0.11,130.00 ms,1.23,0.66,0.37,0.24,130.00 ms,0.72,0.60,0.48,0.08,180.00 ms,1.11,0.80,0.61,0.14,130.00 ms
