,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.70,0.64,0.58,0.04,1330.00 ms,0.68,0.57,0.48,0.07,1330.00 ms,0.63,0.59,0.53,0.04,1340.00 ms,0.82,0.75,0.69,0.04,1320.00 ms
DTR,0.63,0.45,0.34,0.11,60.00 ms,1.03,0.88,0.70,0.14,60.00 ms,0.75,0.65,0.49,0.10,60.00 ms,1.10,1.00,0.88,0.09,60.00 ms
SVR,0.64,0.59,0.48,0.06,90.00 ms,0.83,0.65,0.52,0.11,90.00 ms,0.64,0.60,0.54,0.04,90.00 ms,0.91,0.81,0.72,0.07,90.00 ms
