,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.70,0.57,0.41,0.08,3000.00 ms,0.94,0.64,0.47,0.16,2980.00 ms,0.83,0.63,0.55,0.08,2970.00 ms,0.97,0.79,0.68,0.10,2970.00 ms
DTR,0.58,0.28,0.01,0.19,130.00 ms,1.68,1.06,0.70,0.27,130.00 ms,0.83,0.73,0.58,0.08,140.00 ms,1.18,1.03,0.76,0.12,130.00 ms
SVR,0.40,0.35,0.26,0.05,300.00 ms,1.20,0.96,0.72,0.15,310.00 ms,0.81,0.74,0.67,0.05,300.00 ms,1.10,0.97,0.85,0.07,300.00 ms
