,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.66,0.59,0.54,0.05,780.00 ms,0.79,0.66,0.55,0.10,770.00 ms,0.66,0.62,0.61,0.02,760.00 ms,0.89,0.81,0.74,0.06,760.00 ms
DTR,0.49,0.39,0.31,0.08,40.00 ms,1.10,0.98,0.78,0.14,40.00 ms,0.66,0.63,0.61,0.02,40.00 ms,1.02,0.97,0.87,0.07,40.00 ms
SVR,0.65,0.60,0.54,0.04,80.00 ms,0.80,0.66,0.54,0.10,80.00 ms,0.64,0.60,0.57,0.03,70.00 ms,0.89,0.81,0.74,0.06,70.00 ms
