,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.56,0.54,0.52,0.02,850.00 ms,0.72,0.69,0.67,0.03,840.00 ms,0.68,0.65,0.64,0.02,860.00 ms,0.85,0.83,0.82,0.02,860.00 ms
DTR,0.24,0.19,0.13,0.05,40.00 ms,1.31,1.27,1.20,0.05,40.00 ms,0.80,0.77,0.74,0.03,40.00 ms,1.20,1.12,1.04,0.07,40.00 ms
SVR,0.35,0.34,0.33,0.01,110.00 ms,1.01,0.98,0.96,0.02,110.00 ms,0.76,0.75,0.75,0.00,110.00 ms,1.00,0.99,0.98,0.01,110.00 ms
