,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.60,0.56,0.49,0.04,1460.00 ms,0.80,0.65,0.56,0.09,1460.00 ms,0.68,0.63,0.60,0.03,1460.00 ms,0.89,0.80,0.75,0.05,1440.00 ms
DTR,0.43,0.30,0.22,0.08,80.00 ms,1.38,1.07,0.74,0.23,80.00 ms,0.80,0.72,0.61,0.07,80.00 ms,1.18,1.02,0.85,0.11,80.00 ms
SVR,0.39,0.35,0.31,0.03,160.00 ms,1.08,0.96,0.86,0.08,160.00 ms,0.80,0.74,0.68,0.04,160.00 ms,1.04,0.98,0.93,0.04,150.00 ms
