,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,1.00,1.00,0.99,0.00,1570.00 ms,24465.43,18314.09,14973.44,3656.43,1510.00 ms,114.90,98.32,90.37,8.85,1700.00 ms,156.41,134.69,122.37,13.14,1590.00 ms
DTR,0.99,0.99,0.98,0.00,90.00 ms,68964.54,48080.83,33645.60,13141.00,80.00 ms,161.44,148.10,135.72,9.23,80.00 ms,248.13,210.49,178.30,25.61,80.00 ms
SVR,0.08,0.07,0.05,0.01,190.00 ms,3939130.12,3458512.02,2989873.63,397358.38,180.00 ms,1678.76,1517.90,1386.68,119.31,220.00 ms,1984.72,1856.67,1729.13,106.32,190.00 ms
