,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,0.99,0.99,0.99,0.00,860.00 ms,28636.11,25366.04,23279.44,2341.50,990.00 ms,117.57,111.45,105.47,4.94,1010.00 ms,169.22,159.10,152.58,7.26,990.00 ms
DTR,0.99,0.98,0.98,0.00,50.00 ms,66908.48,54411.12,47886.16,8839.85,50.00 ms,165.81,161.62,157.73,3.30,90.00 ms,254.03,229.22,210.61,18.26,50.00 ms
SVR,0.07,0.05,0.04,0.01,140.00 ms,3844289.58,3531589.60,3233192.29,249684.33,140.00 ms,1639.37,1535.27,1445.95,79.65,140.00 ms,1960.69,1878.08,1798.11,66.40,140.00 ms
