,Kfold_Max_r2,Kfold_Mean_r2,Kfold_Min_r2,Kfold_Std_Deviation_r2,Kfold_r2_Elapsed_Time,Kfold_Max_Mean_Squared_Error,Kfold_Mean_Mean_Squared_Error,Kfold_Min_Mean_Squared_Error,Kfold_Std_Deviation_Mean_Squared_Error,Kfold_Mean_Squared_Error_Elapsed_Time,Kfold_Max_Mean_Absolute_Error,Kfold_Mean_Mean_Absolute_Error,Kfold_Min_Mean_Absolute_Error,Kfold_Std_Deviation_Mean_Absolute_Error,Kfold_Mean_Absolute_Error_Elapsed_Time,Kfold_Max_Root_Mean_Squared_Error,Kfold_Mean_Root_Mean_Squared_Error,Kfold_Min_Root_Mean_Squared_Error,Kfold_Std_Deviation_Root_Mean_Squared_Error,Kfold_Root_Mean_Squared_Error_Elapsed_Time
XGB,1.00,1.00,0.99,0.00,3210.00 ms,20695.75,16140.55,10853.98,3373.42,3410.00 ms,101.81,89.24,78.97,6.96,3080.00 ms,143.86,126.32,104.18,13.57,3110.00 ms
DTR,0.99,0.99,0.97,0.01,130.00 ms,90159.76,46945.27,20706.45,22493.87,140.00 ms,178.97,146.20,108.07,24.23,140.00 ms,335.34,221.34,133.99,56.94,130.00 ms
SVR,0.09,0.07,-0.01,0.03,350.00 ms,4009724.98,3418228.91,2281293.59,520979.01,360.00 ms,1679.35,1507.53,1187.90,156.86,370.00 ms,2002.43,1842.97,1510.40,147.24,360.00 ms
